character,keyword,primitive_meanings,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
亥,sign of the hog,acorn,,1196,,hài,top hat + elbow + person,⿱ (top-bottom),⿱丶𠀔,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">厶</span> <span style=""color:#666"">elbow</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",,RSH RTH RTK,RSH1::L38 primitive
亦,likewise,apple,,1491,,yì,top hat + animal legs + saber,⿱ (top-bottom),⿱亠⿻⿰丿亅八,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">囧只－口</span> <span style=""color:#666"">animal legs</span><br><span style=""color:#1a5276"">刀</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: saber)</span>",,RSH RTH,RSH1::L55 primitive
产,products,bungi-jumper,,1314,,chǎn,standing up + cliff,⿳ (top-mid-bottom),⿳亠丷厂,"<span style=""color:#1a5276"">立</span> <span style=""color:#666"">standing up</span> <span style=""color:#999"">(alias: vase)</span><br><span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span>",TH: 產 | JP: 産,RSH,RSH1::L44 primitive
亨,go smoothly,,,1638,,hēng,tall + -ed,⿳ (top-mid-bottom),⿳亠口了,"<span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span><br><span style=""color:#1a5276"">了</span> <span style=""color:#666"">-ed</span>",,RSH RTH RTK,RSH2::L14
亩,Chinese acre,,,324,,mǔ,rice field + top hat,⿱ (top-bottom),⿱亠田,"<span style=""color:#1a5276"">田</span> <span style=""color:#666"">rice field</span> <span style=""color:#999"">(alias: brains)</span><br><span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span>",TH: 畝 | JP: 畝,RSH,RSH1::L14
享,enjoy,,,326,,xiǎng,child + tall,⿳ (top-mid-bottom),⿳亠口子,"<span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span><br><span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span>",,RSH RTH RTK,RSH1::L14
京,capital,capitol building,,330,,Jīng / jīng,tall + small,⿱ (top-bottom),⿱亠𱒃,"<span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span><br><span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span>",,RSH RTH RTK,RSH1::L14 primitive
亭,pavilion,,,328,,tíng,spike + tiara,⿱ (top-bottom),⿱{87}丁,"<span style=""color:#1a5276"">丁</span> <span style=""color:#666"">fourth</span> <span style=""color:#999"">(alias: spike)</span><br><span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span>",,RSH RTH RTK,RSH1::L14
亮,shiny,,,329,,liàng,tiara + wind,⿱ (top-bottom),⿱{87}几,"<span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span><br><span style=""color:#1a5276"">几</span> <span style=""color:#666"">how many?</span> <span style=""color:#999"">(alias: wind)</span>",,RSH RTH RTK,RSH1::L14
亲,relatives,,,1190,,qīn / qìng,chili pepper + small,⿱ (top-bottom),⿱立木,"<span style=""color:#1a5276"">辛</span> <span style=""color:#666"">peppery</span> <span style=""color:#999"">(alias: chili pepper)</span><br><span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span>",TH: 親 | JP: 親,RSH,RSH1::L38
亶,Mr. Hyde,,,,,dǎn,top hat + return + daybreak,⿱ (top-bottom),⿱㐭旦,"<span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span><br><span style=""color:#1a5276"">回</span> <span style=""color:#666"">return</span><br><span style=""color:#1a5276"">旦</span> <span style=""color:#666"">daybreak</span>",,RSH RTH,RSH2::L22 primitive
人,person,,,793,,rén,,,人,,,RSH RTH RTK,RSH1::L26 primitive
亼,meeting,,,,,jí,umbrella,⿱ (top-bottom),⿱𠆢一,"<span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span>",,RSH RTH RTK,RSH1::L12 primitive
亿,one hundred million,,,2066,,yì,person + fishhook,⿰ (left-right),⿰亻乙,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: fishhook)</span>",TH: 億 | JP: 億,RSH,RSH2::L26
什,what?,,,802,,shí / shén,person + needle,⿰ (left-right),⿰亻十,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,RSH RTH RTK,RSH1::L26
仁,benevolence,,,820,,rén,two + person,⿰ (left-right),⿰亻二,"<span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",,RSH RTH RTK,RSH1::L26
仅,merely,,,811,,jǐn,person + crotch,⿰ (left-right),⿰亻又,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: crotch)</span>",TH: 僅 | JP: 僅,RSH,RSH1::L26
仆,servant,,,2059,,pū / pú,person + magic wand,⿰ (left-right),⿰亻卜,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span>",TH: 僕 | JP: 僕,RSH,RSH2::L26
仇,animosity,,,2055,,chóu / qiú,person + baseball,⿰ (left-right),⿰亻九,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">九</span> <span style=""color:#666"">nine</span> <span style=""color:#999"">(alias: baseball)</span>",,RSH RTH RTK,RSH2::L26
今,now,clock,,1246,,jīn,meeting,⿱ (top-bottom),⿱⿵𠆢丶乛,"<span style=""color:#1a5276"">亼</span> <span style=""color:#666"">meeting</span>",,RSH RTH RTK,RSH1::L40 primitive
介,introduce,,,259,,jiè,umbrella + crutches,⿱ (top-bottom),⿱𠆢⿰丿丨,"<span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">囧介－𠆢</span> <span style=""color:#666"">crutches</span>",,RSH RTH RTK,RSH1::L12
仍,still,,,809,,réng,person + fist,⿰ (left-right),⿰亻乃,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">乃</span> <span style=""color:#666"">only then</span> <span style=""color:#999"">(alias: fist)</span>",,RSH RTH,RSH1::L26
从,follow,assembly line,,846,,cóng / cōng / zòng,person,⿰ (left-right),⿰人人,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",TH: 從 | JP: 従,RSH,RSH1::L26 primitive
仑,lifeguard,,,,,lún,someone sitting on the ground + umbrella,⿱ (top-bottom),⿱𠆢匕,"<span style=""color:#1a5276"">匕</span> <span style=""color:#666"">ancient spoon</span> <span style=""color:#999"">(alias: someone sitting on the ground)</span><br><span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span>",,RSH,RSH1::L18 primitive
仓,storehouse,,,1121,,cāng,umbrella + fingerprint,⿱ (top-bottom),⿱𠆢㔾,"<span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">㔾</span> <span style=""color:#666"">fingerprint</span>",TH: 倉 | JP: 倉,RSH,RSH1::L36
仔,meticulous,,,2067,,zǎi / zī / zǐ,person + child,⿰ (left-right),⿰亻子,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span>",,RSH RTH RTK,RSH2::L26
他,he,,,810,,tā,person + scorpion,⿰ (left-right),⿰亻也,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">也</span> <span style=""color:#666"">also</span> <span style=""color:#999"">(alias: scorpion)</span>",,RSH RTH RTK,RSH1::L26
仗,battle,,,2103,,zhàng,person + 100 Chinese inches,⿰ (left-right),⿰亻丈,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">丈</span> <span style=""color:#666"">100 Chinese inches</span>",,RSH RTH,RSH2::L26
付,pay,,,825,,fù,person + glue,⿰ (left-right),⿰亻寸,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",,RSH RTH RTK,RSH1::L26
仙,immortal,,,2092,,xiān,person + mountain,⿰ (left-right),⿰亻山,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span>",,RSH RTH RTK,RSH2::L26
代,substitute for,,,828,,dài,person + arrow,⿰ (left-right),⿰亻弋,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">弋</span> <span style=""color:#666"">arrow</span>",,RSH RTH RTK,RSH1::L26
令,orders,,,1115,,Líng / líng / lǐng / lìng,meeting + chop,⿱ (top-bottom),⿱⿵𠆢丶龴,"<span style=""color:#1a5276"">亼</span> <span style=""color:#666"">meeting</span><br><span style=""color:#1a5276"">囧节－艹</span> <span style=""color:#666"">chop</span>",,RSH RTH RTK,RSH1::L36
以,by means of,,,861,,Yǐ / yǐ,person + plow + a drop of,,⿽人⿰𠄌丶,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">囧以－丶人</span> <span style=""color:#666"">plow</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RSH1::L27
仪,rite,,,2550,,yí,person + righteousness,⿰ (left-right),⿰亻义,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">义</span> <span style=""color:#666"">righteousness</span> <span style=""color:#999"">(alias: bouquet)</span>",TH: 儀 | JP: 儀,RSH,RSH2::L38
们,(plural),,,1263,,men,person + gate,⿰ (left-right),⿰亻门,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">门</span> <span style=""color:#666"">gate</span>",TH: 們 | JP: 們,RSH,RSH1::L41
仰,look up to,,,1301,,yǎng,person + stamp collection,⿰ (left-right),⿰亻卬,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">卬</span> <span style=""color:#666"">stamp collection</span>",,RSH RTH RTK,RSH1::L43
仲,mid-,,,2058,,zhòng,person + middle,⿰ (left-right),⿰亻中,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">中</span> <span style=""color:#666"">middle</span>",,RSH RTH RTK,RSH2::L26
件,piece,,,808,,jiàn,person + cow,⿰ (left-right),⿰亻牛,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">牛</span> <span style=""color:#666"">cow</span>",,RSH RTH RTK,RSH1::L26
价,price,,,795,,jià / jie,person + introduce,⿰ (left-right),⿰亻介,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">介</span> <span style=""color:#666"">introduce</span>",TH: 價 | JP: 価,RSH,RSH1::L26
任,appoint,,,853,,rèn,person + porter,⿰ (left-right),⿰亻壬,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">壬</span> <span style=""color:#666"">porter</span>",,RSH RTH RTK,RSH1::L27
份,portion,,,796,,fèn,person + part,⿰ (left-right),⿰亻分,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">分</span> <span style=""color:#666"">part</span>",,RSH RTH,RSH1::L26
仿,mimic,,,2086,,fǎng,person + compass,⿰ (left-right),⿰亻方,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">方</span> <span style=""color:#666"">direction</span> <span style=""color:#999"">(alias: compass)</span>",,RSH RTH,RSH2::L26
企,look forward to,,,384,,qǐ,stop + umbrella,⿱ (top-bottom),⿱𠆢止,"<span style=""color:#1a5276"">止</span> <span style=""color:#666"">stop</span> <span style=""color:#999"">(alias: footprint, trail of footprints)</span><br><span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span>",,RSH RTH RTK,RSH1::L17
伊,Queen Elizabeth,,,958,,Yī / yī,person + overseer,⿰ (left-right),⿰亻尹,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">尹</span> <span style=""color:#666"">overseer</span>",,RSH RTH RTK,RSH1::L30
伍,V,,,2054,,wǔ,person + five,⿰ (left-right),⿰亻五,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">五</span> <span style=""color:#666"">five</span>",,RSH RTH RTK,RSH2::L26
伏,bend over,,,2075,,fú,person + chihuahua,⿰ (left-right),⿰亻犬,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">犬</span> <span style=""color:#666"">pooch</span> <span style=""color:#999"">(alias: chihuahua)</span>",,RSH RTH RTK,RSH2::L26
伐,fell,,,2079,,fá,person + fiesta,⿰ (left-right),⿰亻戈,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">戈</span> <span style=""color:#666"">halberd</span> <span style=""color:#999"">(alias: fiesta)</span>",,RSH RTH RTK,RSH2::L26
休,rest,,,812,,xiū,person + tree,⿰ (left-right),⿰亻木,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span>",,RSH RTH RTK,RSH1::L26
众,multitude,,,847,,Zhòng / zhòng,person,⿱ (top-bottom),⿱人从,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",TH: 眾 | JP: 衆,RSH,RSH1::L26
优,excellent,,,821,,yōu,person + Frankenpooch,⿰ (left-right),⿰亻尤,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">尤</span> <span style=""color:#666"">remarkable</span> <span style=""color:#999"">(alias: Frankenpooch)</span>",TH: 優 | JP: 優,RSH,RSH1::L26
伙,mate,,,2072,,huǒ,person + fire,⿰ (left-right),⿰亻火,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">火</span> <span style=""color:#666"">fire</span> <span style=""color:#999"">(alias: flames, fireplace, cooking fire)</span>",,RSH RTH,RSH2::L26
会,meeting,,,677,,huì / kuài,meeting + wall,⿱ (top-bottom),⿱{88}𠫔,"<span style=""color:#1a5276"">亼</span> <span style=""color:#666"">meeting</span><br><span style=""color:#1a5276"">囧会－亼</span> <span style=""color:#666"">wall</span>",TH: 會,RSH RTK,RSH1::L22
伞,umbrella,,,1598,,sǎn,umbrella + animal horns + needle,⿱ (top-bottom),⿱𠆢⿻丷十,"<span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">丷</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",TH: 傘 | JP: 傘,RSH,RSH2::L12
伟,great,,,1231,,wěi,person + briar patch,⿰ (left-right),⿰亻韦,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">韦</span> <span style=""color:#666"">tanned hide</span> <span style=""color:#999"">(alias: briar patch)</span>",TH: 偉 | JP: 偉,RSH,RSH1::L39
传,spread,,,1239,,chuán / zhuàn,person + corncob pipe,⿰ (left-right),⿰亻专,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">专</span> <span style=""color:#666"">specialty</span> <span style=""color:#999"">(alias: corncob pipe)</span>",TH: 傳 | JP: 伝,RSH,RSH1::L39
伤,wound,,,822,,shāng,person + reclining + muscle,⿰ (left-right),⿰亻𱐩,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">𠂉</span> <span style=""color:#666"">reclining</span> <span style=""color:#999"">(alias: lying (down))</span><br><span style=""color:#1a5276"">力</span> <span style=""color:#666"">power</span> <span style=""color:#999"">(alias: muscle)</span>",TH: 傷 | JP: 傷,RSH,RSH1::L26
伦,human relationships,,,2083,,lún,person + lifeguard,⿰ (left-right),⿰亻仑,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">仑</span> <span style=""color:#666"">lifeguard</span>",TH: 倫 | JP: 倫,RSH,RSH2::L26
伪,bogus,,,797,,wěi,person + act,⿰ (left-right),⿰亻为,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">为</span> <span style=""color:#666"">act</span>",TH: 偽 | JP: 偽,RSH,RSH1::L26
伯,father's older brother,,,2057,,bó / bà / bǎi,person + dove,⿰ (left-right),⿰亻白,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: dove)</span>",,RSH RTH RTK,RSH2::L26
