character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,simplified,simplified_reading,simplified_decomposition,simplified_components,japanese,japanese_decomposition,japanese_components,deck,tags
右,right,74,78,78,yòu,mouth + by one’s side,⿸ (top-left-wrap),⿸𠂇口,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">𠂇</span> <span style=""color:#666"">by one’s side</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05
有,possess,75,79,79,yǒu,flesh + by one’s side,⿸ (top-left-wrap),⿸𠂇⺝,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span><br><span style=""color:#1a5276"">𠂇</span> <span style=""color:#666"">by one’s side</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05
賄,bribe,76,,80,huì,shellfish + possess,⿰ (left-right),⿰貝有,"<span style=""color:#1a5276"">貝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells, oyster, clam)</span><br><span style=""color:#1a5276"">有</span> <span style=""color:#666"">possess</span>",贿,huì,shells + possess,"<span style=""color:#1a5276"">贝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells)</span><br><span style=""color:#1a5276"">有</span> <span style=""color:#666"">possess</span>",,,,RTH RTK,RTH1::L05 RTK1v5::L05
貢,tribute,77,,81,gòng,I-beam + shellfish,⿱ (top-bottom),⿱工貝,"<span style=""color:#1a5276"">工</span> <span style=""color:#666"">work</span> <span style=""color:#999"">(alias: I-beam)</span><br><span style=""color:#1a5276"">貝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells, oyster, clam)</span>",贡,gòng,shells,"<span style=""color:#1a5276"">贝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells)</span>",,,,RTH RTK,RTH1::L05 RTK1v5::L05
項,item,78,,82,xiàng,I-beam + head,⿰ (left-right),⿰工頁,"<span style=""color:#1a5276"">工</span> <span style=""color:#666"">work</span> <span style=""color:#999"">(alias: I-beam)</span><br><span style=""color:#1a5276"">頁</span> <span style=""color:#666"">page</span> <span style=""color:#999"">(alias: head)</span>",项,xiàng,page + I-beam,"<span style=""color:#1a5276"">页</span> <span style=""color:#666"">page</span> <span style=""color:#999"">(alias: head)</span><br><span style=""color:#1a5276"">工</span> <span style=""color:#666"">work</span> <span style=""color:#999"">(alias: I-beam)</span>",,,,RTH RTK,RTH1::L05 RTK1v5::L05
刀,sword,79,83,83,dāo,clothes hanger + drop,⿹ (top-right-wrap),⿹𠃌丿,"<span style=""color:#1a5276"">𠃌</span> <span style=""color:#666"">clothes hanger</span><br><span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05 primitive
刃,blade,80,84,84,rèn,dagger + a drop of,⿹ (top-right-wrap),⿹刀㇒,"<span style=""color:#1a5276"">刀</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: dagger)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05
切,cut,81,85,85,qiè / qiē,dagger + seven / diced,⿰ (left-right),⿰七刀,"<span style=""color:#1a5276"">刀</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: dagger)</span><br><span style=""color:#1a5276"">七</span> <span style=""color:#666"">seven</span> <span style=""color:#999"">(alias: diced)</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05
召,summon,82,86,86,zhào,sword / dagger + mouth,⿱ (top-bottom),⿱刀口,"<span style=""color:#1a5276"">刀</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: dagger, saber)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05 primitive
昭,evident,83,87,87,zhāo,summon + sun,⿰ (left-right),⿰日召,"<span style=""color:#1a5276"">召</span> <span style=""color:#666"">summon</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05
則,rule,84,,88,zé,shellfish + dagger,⿰ (left-right),⿰貝刂,"<span style=""color:#1a5276"">貝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells, oyster, clam)</span><br><span style=""color:#1a5276"">刂</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: dagger)</span>",则,zé,clam + saber,"<span style=""color:#1a5276"">贝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: clam)</span><br><span style=""color:#1a5276"">刀</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: saber)</span>",,,,RTH RTK,RTH1::L05 RTK1v5::L05
副,vice-,85,89,89,fù,saber + wealth,⿰ (left-right),⿰畐刂,"<span style=""color:#1a5276"">刀</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: saber)</span><br><span style=""color:#1a5276"">畐</span> <span style=""color:#666"">wealth</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05
丁,fourth,86,90,91,dīng,floor + 亅,⿱ (top-bottom),⿱一亅,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05 primitive
叮,sting,87,91,,dīng,spike + mouth,⿰ (left-right),⿰口丁,"<span style=""color:#1a5276"">丁</span> <span style=""color:#666"">fourth</span> <span style=""color:#999"">(alias: spike)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH,RSH1::L05 RTH1::L05
可,can,88,92,93,kè / kě,spike + mouth,⿹ (top-right-wrap),⿹丁口,"<span style=""color:#1a5276"">丁</span> <span style=""color:#666"">fourth</span> <span style=""color:#999"">(alias: spike)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH RTK,RSH1::L05 RTH1::L05 RTK1v5::L05
哥,older brother,89,93,,gē,can,⿱ (top-bottom),⿱可可,"<span style=""color:#1a5276"">可</span> <span style=""color:#666"">can</span>",,,,,,,,RSH RTH,RSH1::L05 RTH1::L05
頂,crest,90,,94,dǐng,nail + head,⿰ (left-right),⿰丁頁,"<span style=""color:#1a5276"">丁</span> <span style=""color:#666"">fourth</span> <span style=""color:#999"">(alias: nail)</span><br><span style=""color:#1a5276"">頁</span> <span style=""color:#666"">page</span> <span style=""color:#999"">(alias: head)</span>",顶,dǐng,head + spike,"<span style=""color:#1a5276"">页</span> <span style=""color:#666"">page</span> <span style=""color:#999"">(alias: head)</span><br><span style=""color:#1a5276"">丁</span> <span style=""color:#666"">fourth</span> <span style=""color:#999"">(alias: spike)</span>",,,,RTH RTK,RTH1::L05 RTK1v5::L05
乙,second,91,95,71,yǐ / zhé,,,乙,,,,,,,,,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L05 primitive
子,child,92,97,95,zǐ / zi,-ed + floor,⿻ (overlaid),⿻了一,"<span style=""color:#1a5276"">了</span> <span style=""color:#666"">-ed</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,,,,,,,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06 primitive
孔,cavity,93,98,96,kǒng,child + hook,⿰ (left-right),⿰子乚,"<span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span>",,,,,,,,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06
吼,roar,94,99,,hǒu,mouth + cavity,⿰ (left-right),⿰口孔,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">孔</span> <span style=""color:#666"">cavity</span>",,,,,,,,RSH RTH,RSH1::L06 RTH1::L06
了,(-ed),95,101,97,le / liǎo,child,⿱ (top-bottom),⿱乛亅,"<span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span>",,,,,,,,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06
女,woman,96,102,98,rǔ / nǚ,,,女,,,,,,,,,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06 primitive
好,good,97,103,99,hǎo / hào,woman + child,⿰ (left-right),⿰女子,"<span style=""color:#1a5276"">女</span> <span style=""color:#666"">woman</span><br><span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span>",,,,,,,,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06
如,be like,98,104,100,rú,mouth + woman,⿰ (left-right),⿰女口,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">女</span> <span style=""color:#666"">woman</span>",,,,,,,,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06
母,mother,99,105,101,mǔ,woman,,母,"<span style=""color:#1a5276"">女</span> <span style=""color:#666"">woman</span>",,,,,,,,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06 primitive
貫,pierce,100,,102,guàn,毌 + shellfish,⿱ (top-bottom),⿱毌貝,"<span style=""color:#1a5276"">貝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells, oyster, clam)</span>",贯,guàn,mother + oyster,"<span style=""color:#1a5276"">母</span> <span style=""color:#666"">mother</span> <span style=""color:#999"">(alias: breasts)</span><br><span style=""color:#1a5276"">贝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: oyster)</span>",,,,RTH RTK,RTH1::L06 RTK1v5::L06
兄,elder brother,101,107,103,xiōng,mouth + human legs,⿱ (top-bottom),⿱口儿,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">儿</span> <span style=""color:#666"">youngster</span> <span style=""color:#999"">(alias: human legs)</span>",,,,,,,,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06 primitive
克,overcome,102,108,104,kè / Kè / kēi,teenager + needle,⿱ (top-bottom),⿱十兄,"<span style=""color:#1a5276"">兄</span> <span style=""color:#666"">elder brother</span> <span style=""color:#999"">(alias: teenager)</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,,,,,,,RSH RTH RTK,RSH1::L06 RTH1::L06 RTK1v5::L06
小,small,103,109,105,xiǎo,a drop of,⿲ (left-mid-right),⿲㇒亅丶,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07 primitive
少,few,104,110,106,shǎo / shào,a drop of + small,⿱ (top-bottom),⿱𡭔㇒,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
吵,noisy,105,111,,chǎo,few + mouth,⿰ (left-right),⿰口少,"<span style=""color:#1a5276"">少</span> <span style=""color:#666"">few</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH,RSH1::L07 RTH1::L07
大,large,106,113,107,dài / dà,floor + person,⿻ (overlaid),⿻一人,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07 primitive
尖,tip,107,114,2903,jiān,small + large,⿱ (top-bottom),⿱𡭔大,"<span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span><br><span style=""color:#1a5276"">大</span> <span style=""color:#666"">large</span> <span style=""color:#999"">(alias: large dog, St. Bernard dog)</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK3v2::CH03
夕,evening,108,115,109,xī,moon,⿴ (surround),⿴𠂊丶,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: moon)</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
多,many,109,116,108,duō,moon,⿱ (top-bottom),⿱夕夕,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: moon)</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
夠,enough,110,,,gòu,many + sentence,⿰ (left-right),⿰多句,"<span style=""color:#1a5276"">多</span> <span style=""color:#666"">many</span><br><span style=""color:#1a5276"">句</span> <span style=""color:#666"">sentence</span>",够,gòu,sentence + many,"<span style=""color:#1a5276"">句</span> <span style=""color:#666"">sentence</span><br><span style=""color:#1a5276"">多</span> <span style=""color:#666"">many</span>",,,,RTH,RTH1::L07
外,outside,111,118,111,wài,evening + magic wand,⿰ (left-right),⿰夕卜,"<span style=""color:#1a5276"">夕</span> <span style=""color:#666"">evening</span><br><span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
名,name,112,119,112,míng,evening + mouth,⿱ (top-bottom),⿱夕口,"<span style=""color:#1a5276"">夕</span> <span style=""color:#666"">evening</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
厚,thick,113,124,125,hòu,child + cliff + sun,⿸ (top-left-wrap),⿸厂㫗,"<span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span><br><span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
石,stone,114,125,113,shí / dàn,mouth + cliff,⿸ (top-left-wrap),⿸丆口,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07 primitive
砂,gravel,115,126,117,shā,few + stone,⿰ (left-right),⿰石少,"<span style=""color:#1a5276"">少</span> <span style=""color:#666"">few</span><br><span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
妙,wonderful,116,127,123,miào,woman + few,⿰ (left-right),⿰女少,"<span style=""color:#1a5276"">女</span> <span style=""color:#666"">woman</span><br><span style=""color:#1a5276"">少</span> <span style=""color:#666"">few</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
肖,resemble,117,128,114,xiào,small + flesh,⿱ (top-bottom),⿱⺌⺝,"<span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span><br><span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07 primitive
削,peel,118,129,118,xuē / xiāo,saber + sparks,⿰ (left-right),⿰肖刂,"<span style=""color:#1a5276"">刀</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: saber)</span><br><span style=""color:#1a5276"">肖</span> <span style=""color:#666"">resemble</span> <span style=""color:#999"">(alias: sparks)</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
光,ray,119,130,119,guāng,small + human legs,⿱ (top-bottom),⿱⺌兀,"<span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span><br><span style=""color:#1a5276"">儿</span> <span style=""color:#666"">youngster</span> <span style=""color:#999"">(alias: human legs)</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
太,overly,120,131,120,tài,St. Bernard dog + a drop of,⿵ (surround-open-bottom),⿵大丶,"<span style=""color:#1a5276"">大</span> <span style=""color:#666"">large</span> <span style=""color:#999"">(alias: St. Bernard dog)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
省,economize,121,132,124,shěng / xǐng,eye + few,⿱ (top-bottom),⿱少目,"<span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span> <span style=""color:#999"">(alias: eyeball, net)</span><br><span style=""color:#1a5276"">少</span> <span style=""color:#666"">few</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
奇,strange,122,133,126,jī / qí,St. Bernard dog + can + mouth + nail,⿱ (top-bottom),⿱大可,"<span style=""color:#1a5276"">大</span> <span style=""color:#666"">large</span> <span style=""color:#999"">(alias: St. Bernard dog)</span><br><span style=""color:#1a5276"">可</span> <span style=""color:#666"">can</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">丁</span> <span style=""color:#666"">fourth</span> <span style=""color:#999"">(alias: nail)</span>",,,,,,,,RSH RTH RTK,RSH1::L07 RTH1::L07 RTK1v5::L07
川,stream,123,134,127,Chuān / chuān,drop + walking stick + walking stick,⿲ (left-mid-right),⿲丿丨丨,"<span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,,,,,,,RSH RTH RTK,RSH1::L08 RTH1::L08 RTK1v5::L08 primitive
州,state,124,135,128,zhōu,a drop of + stream,⿻ (overlaid),⿻川{86},"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">川</span> <span style=""color:#666"">stream</span> <span style=""color:#999"">(alias: flood)</span>",,,,,,,,RSH RTH RTK,RSH1::L08 RTH1::L08 RTK1v5::L08
